pignum,sample_ID,Gender,weight_9_12,weight_10_9,weight,AULC,experiment,day,tissue,num_seqs,treatment,set,log_sal,nurse_gain,pen,pig_day_tissue,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate
160,X12bP160D21F,F,5.15,13.85,NA,44.969631425385394,X12b,D21,F,17226,Control,X12b_D21_F_Control,1.69897000433602,8.7,32,160_D21_F,71.93106,21.526290000000003,2.6499300000000003,11.42862,4.25865,3.3390899999999997,0.68458,0,1.4031600000000002,3.12201,0.49451999999999996
160,X12bP160D21X,F,5.15,13.85,NA,44.969631425385394,X12b,D21,X,24976,Control,X12b_D21_X_Control,0,8.7,32,160_D21_X,86.81627999999999,41.13531,0.55281,23.28138,0.55545,3.0015,1.2659699999999998,0.25751999999999997,0.17292,1.12953,0.29871000000000003
160,X12bP160D2F,F,5.15,13.85,NA,44.969631425385394,X12b,D2,F,30740,Control,X12b_D2_F_Control,2.92941892571429,8.7,32,160_D2_F,47.25894,23.30637,3.4673999999999996,10.64019,4.49781,4.18905,0.9520900000000001,0,1.13226,0.31578,1.2862500000000001
160,X12bP160D7F,F,5.15,13.85,NA,44.969631425385394,X12b,D7,F,23799,Control,X12b_D7_F_Control,2.81291335664286,8.7,32,160_D7_F,66.15435000000001,32.319599999999994,5.3566199999999995,20.46276,7.63746,8.82,2.4345999999999997,0,2.0630100000000002,1.5026100000000002,5.728949999999999
175,X12bP175D0F,F,7.45,15.05,NA,39.58661005636826,X12b,D0,F,29325,RCS,X12b_D0_F_RCS,0,7.6000000000000005,35,175_D0_F,71.38296000000001,28.68297,3.9050399999999996,15.628440000000001,4.7118,5.051069999999999,1.65952,0,1.24566,1.21314,0.5382
175,X12bP175D0Q,F,7.45,15.05,NA,39.58661005636826,X12b,D0,Q,43341,RCS,X12b_D0_Q_RCS,0,7.6000000000000005,35,175_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,X12bP175D14F,F,7.45,15.05,NA,39.58661005636826,X12b,D14,F,24094,RCS,X12b_D14_F_RCS,1.69897000433602,7.6000000000000005,35,175_D14_F,83.35344,33.632130000000004,4.30353,24.60906,6.90756,8.915040000000001,1.49731,0,1.8062999999999998,1.4729999999999999,0
175,X12bP175D21C,F,7.45,15.05,NA,39.58661005636826,X12b,D21,C,31333,RCS,X12b_D21_C_RCS,0,7.6000000000000005,35,175_D21_C,69.66522,39.290760000000006,0.54084,18.029400000000003,0.8203799999999999,4.3110599999999994,0.59463,0.26826,0.26549999999999996,1.1034899999999999,1.00935
175,X12bP175D21F,F,7.45,15.05,NA,39.58661005636826,X12b,D21,F,39264,RCS,X12b_D21_F_RCS,1.69897000433602,7.6000000000000005,35,175_D21_F,98.80928999999999,41.28504,4.74732,34.06158,7.591889999999999,9.81897,3.00619,0,2.05437,1.62699,2.2195799999999997
175,X12bP175D2F,F,7.45,15.05,NA,39.58661005636826,X12b,D2,F,19880,RCS,X12b_D2_F_RCS,3.30102999566398,7.6000000000000005,35,175_D2_F,65.75535,26.07576,2.33607,10.80249,2.27532,3.9580800000000003,1.30972,0,0.7296,1.5828900000000001,1.7216399999999998
175,X12bP175D7F,F,7.45,15.05,NA,39.58661005636826,X12b,D7,F,21432,RCS,X12b_D7_F_RCS,1.69897000433602,7.6000000000000005,35,175_D7_F,76.38126000000001,29.31465,3.91275,14.94723,5.5359,5.693160000000001,1.9874800000000001,0,1.46853,1.9986000000000002,6.11193
178,X12bP178D0F,F,7.15,17,NA,35.785580060704284,X12b,D0,F,6718,Acid,X12b_D0_F_Acid,0,9.85,36,178_D0_F,46.03404,17.20512,2.97936,7.8073500000000005,3.2469900000000003,2.7879899999999997,0.43633000000000005,0,0.89124,0.48978,0.61497
178,X12bP178D0Q,F,7.15,17,NA,35.785580060704284,X12b,D0,Q,34824,Acid,X12b_D0_Q_Acid,0,9.85,36,178_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,X12bP178D14F,F,7.15,17,NA,35.785580060704284,X12b,D14,F,33041,Acid,X12b_D14_F_Acid,1.69897000433602,9.85,36,178_D14_F,76.03008000000001,26.61315,3.17589,19.64574,5.10858,6.2199599999999995,2.50645,0,1.4277600000000001,1.70241,0.30366000000000004
178,X12bP178D21C,F,7.15,17,NA,35.785580060704284,X12b,D21,C,26204,Acid,X12b_D21_C_Acid,1.30102999566398,9.85,36,178_D21_C,74.52941999999999,41.17326,0.7637100000000001,20.63277,0.7283999999999999,4.74123,0.7584000000000001,0.30639,0.18858,0.8269500000000001,1.2937500000000002
178,X12bP178D21F,F,7.15,17,NA,35.785580060704284,X12b,D21,F,23147,Acid,X12b_D21_F_Acid,1.69897000433602,9.85,36,178_D21_F,81.42129000000001,34.50195,4.01823,22.74186,5.45688,5.35461,1.9510300000000003,0,1.3927800000000001,2.94819,18.15993
178,X12bP178D2F,F,7.15,17,NA,35.785580060704284,X12b,D2,F,27792,Acid,X12b_D2_F_Acid,1.69897000433602,9.85,36,178_D2_F,70.97016,31.32606,4.46838,16.96248,5.92062,6.383430000000001,1.9713700000000003,0,1.51209,0.63906,0.85596
178,X12bP178D7F,F,7.15,17,NA,35.785580060704284,X12b,D7,F,24121,Acid,X12b_D7_F_Acid,2,9.85,36,178_D7_F,105.25368,48.736650000000004,4.82829,23.02512,7.774230000000001,11.771939999999999,3.7438900000000004,0,1.98717,1.41645,3.49695
181,X12bP181D0F,M,7.2,17.5,NA,23.785580060704284,X12b,D0,F,23925,RPS,X12b_D0_F_RPS,0,10.3,37,181_D0_F,68.63931000000001,30.250950000000003,3.05973,14.2548,3.46617,5.4558,1.42057,0,0.8936999999999999,0.534,1.63167
181,X12bP181D0Q,M,7.2,17.5,NA,23.785580060704284,X12b,D0,Q,38759,RPS,X12b_D0_Q_RPS,0,10.3,37,181_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,X12bP181D14F,M,7.2,17.5,NA,23.785580060704284,X12b,D14,F,26980,RPS,X12b_D14_F_RPS,1.69897000433602,10.3,37,181_D14_F,108.28884000000001,61.66062000000001,5.51637,33.02619,9.27171,15.41553,4.43074,0,2.26842,2.09073,0
181,X12bP181D21C,M,7.2,17.5,NA,23.785580060704284,X12b,D21,C,28838,RPS,X12b_D21_C_RPS,2.07918124604762,10.3,37,181_D21_C,74.67276000000001,27.43173,0.55941,26.147640000000003,0.47106,5.154,0.8010300000000001,0.41424000000000005,0.15684,0.6237900000000001,1.17027
181,X12bP181D21F,M,7.2,17.5,NA,23.785580060704284,X12b,D21,F,25777,RPS,X12b_D21_F_RPS,1.69897000433602,10.3,37,181_D21_F,75.35091000000001,27.813450000000003,2.48028,20.07003,3.51201,6.512970000000001,4.0901499999999995,0,0.97614,1.74762,22.68432
181,X12bP181D21X,M,7.2,17.5,NA,23.785580060704284,X12b,D21,X,35895,RPS,X12b_D21_X_RPS,0,10.3,37,181_D21_X,74.67276000000001,27.43173,0.55941,26.147640000000003,0.47106,5.154,0.8010300000000001,0.41424000000000005,0.15684,0.6237900000000001,1.17027
181,X12bP181D7F,M,7.2,17.5,NA,23.785580060704284,X12b,D7,F,21830,RPS,X12b_D7_F_RPS,0,10.3,37,181_D7_F,89.00298000000001,49.15241999999999,2.7086699999999997,14.49522,2.9124299999999996,12.383339999999999,2.1954700000000003,0,0.753,3.03438,6.79041
191,X12bP191D0F,M,8.6,14.75,NA,38.743423200754194,X12b,D0,F,22761,Control,X12b_D0_F_Control,0,6.15,39,191_D0_F,48.32964,19.58148,2.90241,10.50876,3.80511,3.6742800000000004,0.94567,0,1.1219100000000002,0.9856800000000001,0.30413999999999997
191,X12bP191D0Q,M,8.6,14.75,NA,38.743423200754194,X12b,D0,Q,28764,Control,X12b_D0_Q_Control,0,6.15,39,191_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,X12bP191D14F,M,8.6,14.75,NA,38.743423200754194,X12b,D14,F,26476,Control,X12b_D14_F_Control,1.69897000433602,6.15,39,191_D14_F,67.04298000000001,29.813280000000002,3.50835,14.08269,4.22874,4.84323,0.80446,0,1.16628,1.2219,0
191,X12bP191D21C,M,8.6,14.75,NA,38.743423200754194,X12b,D21,C,26911,Control,X12b_D21_C_Control,1.30102999566398,6.15,39,191_D21_C,75.39519,54.43812,0.5015999999999999,13.30953,0.50778,3.7089600000000003,0.50676,0.29286,0.11397000000000002,0.30039,0.66726
191,X12bP191D21F,M,8.6,14.75,NA,38.743423200754194,X12b,D21,F,22368,Control,X12b_D21_F_Control,1.69897000433602,6.15,39,191_D21_F,92.712,41.37402,4.92744,22.0809,7.714440000000001,8.02035,2.16571,0,1.85598,1.27212,5.58207
