pen,timepoint,treatment,group,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,total,lactate
75,0,3,75_0,67.79049,35.26554,0,33.259080000000004,0.1764,10.347809999999999,0.6727799999999999,0.29532,0.15911999999999998,0.86988,279.14706,7.682370000000001
76,0,6,76_0,69.91508999999999,39.33198,0.26615999999999995,21.98589,0.35481,8.29512,0.5287200000000001,0,0.18894,1.9890600000000003,266.39259,1.87053
79,0,3,79_0,72.39003,25.133940000000003,0.28181999999999996,25.600559999999998,0.24563999999999997,4.93983,0.62082,0.23454,0.20994000000000002,0.57768,251.75178,0
80,0,9,80_0,83.70858,35.10324,0.5820000000000001,30.24711,0.5487,7.286760000000001,1.2862500000000001,0.21585,0.23315999999999998,0.5608500000000001,282.41748,0.72798
83,0,2,83_0,72.15090000000001,43.65129,0.23994,18.594749999999998,0.27939,3.27222,0.56865,0.31869000000000003,0,0.71847,262.77807,0.8719199999999999
84,0,1,84_0,74.38884,44.51031,0.26874000000000003,27.62019,0.24852,3.00657,0.47592,0.30471,0.17550000000000002,0.35883,274.37313,0.92754
85,0,8,85_0,83.06619,39.5196,0.18933,18.28782,0.16071,2.4476400000000003,0.6265799999999999,0.40497,0.13965,0.27024,267.94638,1.07478
86,0,6,86_0,66.38220000000001,34.21662,0.3795,26.51805,0.35427,7.23282,0.6268199999999999,0.26913,0,0.83148,264.15228,6.15528
87,0,8,87_0,64.17354,40.31577,0.25731,22.05492,0.35775,4.52448,0.57636,0.49299000000000004,0.10593,0.53457,257.0469,1.44723
89,0,2,89_0,80.47692,47.06739,0.21816000000000002,21.25485,0.27186,3.7014899999999997,0.43091999999999997,0.18507,0.20433,0.8556300000000001,276.12816000000004,0
90,0,8,90_0,82.34154,37.12404,0.30453,19.26153,0.29277,3.231,0.62322,0.44796,0.17091,0.5034299999999999,268.07289,1.4737200000000001
91,0,9,91_0,71.5821,38.32215,0.24014999999999997,21.5733,0.22824,6.359069999999999,0.73539,0.29352,0.09819,0.41232,260.70801,0.86358
92,0,1,92_0,88.5372,53.092439999999996,0.29304,18.26484,0.28398,4.00554,0.55833,0.30582,0.10593,0.43764000000000003,288.26315999999997,0.93645
93,0,10,93_0,56.95233,24.67158,0.25089,28.060019999999998,0.23913,11.16147,0.79416,0.40137,0.186,1.64976,255.56118,8.28819
94,0,9,94_0,73.73094,32.69499,0.47129999999999994,29.47992,0.36246,4.722239999999999,0.59523,0.37044,0.12351,0.7970999999999999,266.07495,1.16961
95,0,8,95_0,79.56531,43.00158,0.55407,20.46414,0.68601,2.4774599999999998,0.52068,0.43182000000000004,0.19479000000000002,0.56628,271.96326,1.5547499999999999
