pignum,time,treatment,set,formate,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,fumarate,lactate,total
22,2,RCS,2_RCS,3.42774,92.93484000000001,37.43313,3.3854100000000003,19.315920000000002,4.1931899999999995,8.700569999999999,2.58136,0,1.1154899999999999,1.77534,0.32496,2.09394,177.28189
43,2,RCS,2_RCS,3.0859799999999997,73.24458,42.86259,2.95398,18.61296,3.3063900000000004,10.75242,1.9828899999999998,0,0.8952899999999999,0.92286,0.29757,2.05347,160.97098
65,2,RCS,2_RCS,2.35209,77.16447000000001,38.924459999999996,4.0921199999999995,23.44623,4.72143,9.52341,2.6971299999999996,0,1.2936,2.0559000000000003,0.40277999999999997,3.60168,170.27530000000002
119,2,RCS,2_RCS,2.48517,71.03415000000001,30.786990000000003,3.1540800000000004,18.19272,4.5883199999999995,9.020430000000001,3.72598,0.27632999999999996,1.43229,0.98898,0.29787,1.89522,147.87853
138,2,RCS,2_RCS,0,87.20004000000002,38.73399,4.94568,28.215719999999997,6.25953,7.95528,2.40823,0,1.65999,1.2928199999999999,0.39834,2.2146,181.28422
175,2,RCS,2_RCS,2.8053,65.75535,26.07576,2.33607,10.80249,2.27532,3.9580800000000003,1.30972,0,0.7296,1.5828900000000001,0.29112,1.7216399999999998,119.64334000000001
198,2,RCS,2_RCS,0,62.55407999999999,41.22369,2.02164,10.23453,1.87452,7.70754,0.08770000000000006,0,0.66864,0.47742,0,0,126.84975999999999
397,2,RCS,2_RCS,3.17352,76.57698,27.50721,3.41505,16.52082,4.34382,6.72645,1.7910400000000002,0,1.11606,2.18565,0.18414,3.84441,147.38515
6,2,Bglu,2_Bglu,0,67.42041000000002,34.21011,2.49297,19.08909,2.51679,7.413450000000001,1.59409,0,0.62409,2.3094599999999996,0.26631,4.59006,142.52683000000002
144,2,Bglu,2_Bglu,1.5299399999999999,83.52579000000001,30.0084,4.25106,25.96443,7.09914,5.52327,2.00983,0,2.22804,1.53402,0.19751999999999997,1.02597,164.89741
228,2,Bglu,2_Bglu,2.5284,47.65392,21.76491,2.36352,11.54469,1.89159,4.698029999999999,0.6349899999999999,0,0.57423,1.60968,0,2.0110799999999998,97.27504
240,2,Bglu,2_Bglu,1.18668,59.239110000000004,24.88917,4.30365,13.59018,7.603350000000001,7.21326,2.45623,0,1.91241,0.5383199999999999,0.28953,0.5094000000000001,123.73129
253,2,Bglu,2_Bglu,2.35257,59.82195,30.629730000000002,1.9589699999999999,16.908179999999998,1.57578,8.29182,0.49272999999999995,0,0.48075,1.9884,0.44808,1.8684,126.81736
461,2,Bglu,2_Bglu,1.6820399999999998,60.9561,35.77383,2.95395,15.935580000000002,2.8151699999999997,6.27543,1.3056100000000002,0,0.88164,2.18706,0.18702,4.17573,135.12915999999998
8,2,Bglu,2_Bglu,1.9512,70.11714,26.38398,4.222379999999999,11.397,7.03653,6.40164,2.03614,0.27855,1.88904,0.53856,0.30636,0.99462,133.55314
226,2,Bglu,2_Bglu,1.26312,93.0219,37.85562,5.61237,25.944480000000002,8.2989,8.839649999999999,2.7307300000000003,0,1.97763,2.07522,0.45867,1.64163,189.71992
237,2,Bglu,2_Bglu,1.50807,68.02350000000001,29.89011,2.51343,14.829839999999999,1.90083,4.02234,0.38998000000000005,0,0.6192300000000001,1.4139,0.20337,1.34367,126.65827000000002
77,7,control,7_control,2.52327,74.52753,31.123260000000002,2.9080500000000002,12.185640000000001,2.63079,3.89349,0.9938500000000001,0,0.76368,1.69692,0.15689999999999998,9.88731,143.29069
87,7,control,7_control,1.89036,62.363189999999996,36.78651,3.63234,17.81436,5.63184,7.63368,1.77589,0,1.47906,1.21398,0.19205999999999998,2.9853,143.39857
122,7,control,7_control,0.96993,84.14487000000001,40.57764,3.0948900000000004,13.45842,2.82414,6.653040000000001,0.30951999999999996,0,0.8266800000000001,2.58984,0.14873999999999998,15.281310000000001,170.87902000000003
160,7,control,7_control,0,66.15435000000001,32.319599999999994,5.3566199999999995,20.46276,7.63746,8.82,2.4345999999999997,0,2.0630100000000002,1.5026100000000002,0,5.728949999999999,152.47996
191,7,control,7_control,2.46678,90.91371000000001,43.57431,5.4153,26.28744,8.56983,11.97621,3.5619700000000005,0,2.06394,2.06601,0.34521,3.1055699999999997,200.34628
224,7,control,7_control,1.27272,71.59449000000001,19.98513,3.94146,8.31261,5.06103,4.46619,0.80332,0,1.48122,2.02167,0.38367,11.996760000000002,131.32027000000002
345,7,control,7_control,2.6388000000000003,60.47787,21.934919999999998,3.1502100000000004,10.3407,3.9723,4.1858699999999995,0.95275,0,1.11498,2.01867,0.2379,7.96911,118.99408
419,7,control,7_control,1.58502,80.28129,34.26831,4.4688300000000005,16.74378,5.46348,7.7068200000000004,1.9488400000000001,0,1.4816099999999999,2.91492,0.25911,15.33576,172.45777
458,7,control,7_control,2.36331,110.50547999999999,46.204139999999995,6.2706599999999995,28.127969999999998,10.14363,11.49207,3.3988000000000005,0,2.4853199999999998,1.01217,0.32202000000000003,5.443020000000001,227.76859
